Edge_ID,Source_ID,Citing_Title,Citing_Year,Citing_Venue_Raw,Citing_DOI,Article_URL,Full_Text_URL,Citing_Authors_Raw,Context_Priority,Independence_Class,Independence_Confidence,Independence_Note,Phase3_Fast_Attempted,Phase3_Fast_Match_Source,Phase3_Fast_Title_Score,Phase3_Fast_OpenAlex_ID,Phase3_Fast_Canonical_DOI,Phase3_Fast_Authors,Phase3_Fast_Institutions,Phase3_Fast_Countries,Final_Independence_Class,Final_Independence_Confidence,Final_Independence_Note,Overlapping_Source_Authors,Phase3_Fast_Changed
E001,P01,Materials-driven soft wearable bioelectronics for connected healthcare,2024,Chemical Reviews,10.1021/acs.chemrev.3c00502,https://pubs.acs.org/doi/abs/10.1021/acs.chemrev.3c00502,,"S Gong, Y Lu, J Yin, A Levin, W Cheng",Medium,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,OpenAlex DOI,100.0,https://openalex.org/W4390588573,10.1021/acs.chemrev.3c00502,Shu Gong; Lu Yan; Jialiang Yin; Arie Levin; Wenlong Cheng,Monash University,AU,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
E002,P01,Age of flexible electronics: emerging trends in soft multifunctional sensors,2024,Advanced Materials,10.1002/adma.202310505,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202310505,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002%2Fadma.202310505,"JH Lee, K Cho, JK Kim",Low,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,OpenAlex DOI,100.0,https://openalex.org/W4391137392,10.1002/adma.202310505,Jeng‐Hun Lee; Kilwon Cho; Jang‐Kyo Kim,Khalifa University of Science and Technology; Pohang University of Science and Technology; UNSW Sydney,AE; AU; KR,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
E003,P01,Porous conductive textiles for wearable electronics,2024,Chemical …,10.1021/acs.chemrev.3c00507,https://pubs.acs.org/doi/abs/10.1021/acs.chemrev.3c00507,https://ira.lib.polyu.edu.hk/bitstream/10397/113600/1/Ding_Porous_Conductive_Textiles.pdf,"Y Ding, J Jiang, Y Wu, Y Zhang, J Zhou…",Medium,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,OpenAlex DOI,100.0,https://openalex.org/W4391929423,10.1021/acs.chemrev.3c00507,Yichun Ding; Jinxing Jiang; Yingsi Wu; Yaokang Zhang; Junhua Zhou; Yufei Zhang; Qiyao Huang; Zijian Zheng,Chinese Academy of Sciences; Fujian Institute of Research on the Structure of Matter; Hong Kong Polytechnic University; Tan Kah Kee Innovation Laboratory,CN; HK,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
E004,P01,Toward an AI era: advances in electronic skins,2024,Chemical Reviews,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11397144/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11397144/,"X Fu, W Cheng, G Wan, Z Yang, BCK Tee",Medium,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,OpenAlex title search,100.0,https://openalex.org/W4402012888,10.1021/acs.chemrev.4c00049,Xuemei Fu; Wen Cheng; Guanxiang Wan; Zijie Yang; Benjamin C. K. Tee,"Agency for Science, Technology and Research; Institute of Materials Research and Engineering; Japan Science and Technology Agency; National University of Singapore",JP; SG,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
E005,P01,"Electronic skin for health monitoring systems: properties, functions, and applications",2024,Advanced …,10.1002/adma.202402542,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202402542,,"X Yang, W Chen, Q Fan, J Chen, Y Chen…",High,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,OpenAlex DOI,100.0,https://openalex.org/W4397021207,10.1002/adma.202402542,Xichen Yang; Wenzheng Chen; Qunfu Fan; Jing Chen; Yujie Chen; Feili Lai; Hezhou Liu,Collaborative Innovation Centre for Advanced Ship and Deep-Sea Exploration; Shanghai Jiao Tong University,CN,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
E006,P01,Traditional Chinese Medicine (TCM)‐Inspired Fully Printed Soft Pressure Sensor Array with Self‐Adaptive Pressurization for Highly Reliable Individualized Long‐Term …,2025,Advanced …,10.1002/adma.202410312,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202410312,,"X Wang, G Wu, X Zhang, F Lv, Z Yang…",Pending,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,OpenAlex DOI,100.0,https://openalex.org/W4402994118,10.1002/adma.202410312,Xin Wang; Guirong Wu; Xikuan Zhang; Fei Lv; Zekun Yang; Xueli Nan; Zengxing Zhang; Chenyang Xue; Huanyu Cheng; Libo Gao,North University of China; Pennsylvania State University; Shanxi University; Xiamen University; Xiamen University of Technology,CN; US,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
E007,P01,Flexible strain sensors with ultra-high sensitivity and wide range enabled by crack-modulated electrical pathways,2025,Nano-Micro Letters,10.1007/s40820-024-01571-6,https://link.springer.com/article/10.1007/s40820-024-01571-6,https://link.springer.com/content/pdf/10.1007/s40820-024-01571-6.pdf,"Y Bai, Y Zhou, X Wu, M Yin, L Yin, S Qu, F Zhang, K Li…",Pending,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,OpenAlex DOI,100.0,https://openalex.org/W4404455487,10.1007/s40820-024-01571-6,Yunzhao Bai; Yunlei Zhou; Xuanyu Wu; Mengfei Yin; Liting Yin; Shiyuan Qu; Fan Zhang; Kan Li; YongAn Huang,Huazhong University of Science and Technology; University of Southern California; Xidian University; Xuzhou University of Technology,CN; US,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
E008,P01,Ag–thiolate interactions to enable an ultrasensitive and stretchable MXene strain sensor with high temporospatial resolution,2024,Nature …,,https://www.nature.com/articles/s41467-024-49787-9,https://www.nature.com/articles/s41467-024-49787-9.pdf,"Y Liu, Z Xu, X Ji, X Xu, F Chen, X Pan, Z Fu…",Low,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,OpenAlex title search,100.0,https://openalex.org/W4400010126,10.1038/s41467-024-49787-9,Yang Liu; Zijun Xu; Xinyi Ji; Xin Xu; Fei Chen; Xiaosen Pan; Zhiqiang Fu; Yunzhi Chen; Zhengjian Zhang; Hongbin Liu; Bowen Cheng; Jiajie Liang,Nankai University; Tiangong University; Tianjin University of Science and Technology,CN,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
E009,P01,"Thin, flexible hybrid-structured piezoelectric sensor array with enhanced resolution and sensitivity",2024,Nano Energy,,https://www.sciencedirect.com/science/article/pii/S221128552400939X,,"L Zhen, M Cui, X Bai, J Jiang, X Ma, M Wang, J Liu…",Medium,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,OpenAlex title search,100.0,https://openalex.org/W4401964052,10.1016/j.nanoen.2024.110188,Liyun Zhen; Meng Cui; Xingyu Bai; Jia‐Xing Jiang; Xin Ma; Meng Wang; Jingquan Liu; Bin Yang,China Aerodynamics Research and Development Center; Shanghai Jiao Tong University; Shanghai Sixth People's Hospital,CN,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
E010,P01,Flexible and sensitive pressure sensor with enhanced breathability for advanced wearable health monitoring,2025,npj Flexible …,,https://www.nature.com/articles/s41528-025-00469-6,https://www.nature.com/articles/s41528-025-00469-6.pdf,"X Chen, C Wang, W Wei, Y Liu, SS Ge, L Zhou…",High,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,OpenAlex title search,100.0,https://openalex.org/W4414543791,10.1038/s41528-025-00469-6,Xingguang Chen; Chen‐Hao Wang; Wei Wei; Yinhua Liu; Shuzhi Sam Ge; Lianqun Zhou; Hui Kong,Chinese Academy of Sciences; Hangzhou Wanxiang Polytechnic; National University of Singapore; Qingdao University; Suzhou Institute of Biomedical Engineering and Technology; University Hospital Zurich; University of Zurich; Zhejiang University,CH; CN; SG,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
