Edge_ID,Source_ID,Citing_Title,Citing_Year,Citing_Venue_Raw,Citing_DOI,Article_URL,Full_Text_URL,Citing_Authors_Raw,Context_Priority,Phase3_Fast_Attempted,Phase3_Fast_Match_Source,Phase3_Fast_Title_Score,Phase3_Fast_OpenAlex_ID,Phase3_Fast_Canonical_DOI,Phase3_Fast_Authors,Phase3_Fast_Institutions,Phase3_Fast_Countries,Final_Independence_Class,Final_Independence_Confidence,Final_Independence_Note,Overlapping_Source_Authors,Phase3_Fast_Changed
E001,P01,Materials-driven soft wearable bioelectronics for connected healthcare,2024,Chemical Reviews,10.1021/acs.chemrev.3c00502,https://pubs.acs.org/doi/abs/10.1021/acs.chemrev.3c00502,,"S Gong, Y Lu, J Yin, A Levin, W Cheng",Medium,No,Not needed,,,10.1021/acs.chemrev.3c00502,"S Gong, Y Lu, J Yin, A Levin, W Cheng",,,,,,,No
E002,P01,Age of flexible electronics: emerging trends in soft multifunctional sensors,2024,Advanced Materials,10.1002/adma.202310505,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202310505,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002%2Fadma.202310505,"JH Lee, K Cho, JK Kim",Low,No,Not needed,,,10.1002/adma.202310505,"JH Lee, K Cho, JK Kim",,,,,,,No
E003,P01,Porous conductive textiles for wearable electronics,2024,Chemical …,10.1021/acs.chemrev.3c00507,https://pubs.acs.org/doi/abs/10.1021/acs.chemrev.3c00507,https://ira.lib.polyu.edu.hk/bitstream/10397/113600/1/Ding_Porous_Conductive_Textiles.pdf,"Y Ding, J Jiang, Y Wu, Y Zhang, J Zhou…",Medium,No,Not needed,,,10.1021/acs.chemrev.3c00507,"Y Ding, J Jiang, Y Wu, Y Zhang, J Zhou…",,,,,,,No
E004,P01,Toward an AI era: advances in electronic skins,2024,Chemical Reviews,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11397144/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11397144/,"X Fu, W Cheng, G Wan, Z Yang, BCK Tee",Medium,No,Not needed,,,,"X Fu, W Cheng, G Wan, Z Yang, BCK Tee",,,,,,,No
E005,P01,"Electronic skin for health monitoring systems: properties, functions, and applications",2024,Advanced …,10.1002/adma.202402542,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202402542,,"X Yang, W Chen, Q Fan, J Chen, Y Chen…",High,No,Not needed,,,10.1002/adma.202402542,"X Yang, W Chen, Q Fan, J Chen, Y Chen…",,,,,,,No
E006,P01,Traditional Chinese Medicine (TCM)‐Inspired Fully Printed Soft Pressure Sensor Array with Self‐Adaptive Pressurization for Highly Reliable Individualized Long‐Term …,2025,Advanced …,10.1002/adma.202410312,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202410312,,"X Wang, G Wu, X Zhang, F Lv, Z Yang…",Pending,No,Not needed,,,10.1002/adma.202410312,"X Wang, G Wu, X Zhang, F Lv, Z Yang…",,,,,,,No
E007,P01,Flexible strain sensors with ultra-high sensitivity and wide range enabled by crack-modulated electrical pathways,2025,Nano-Micro Letters,10.1007/s40820-024-01571-6,https://link.springer.com/article/10.1007/s40820-024-01571-6,https://link.springer.com/content/pdf/10.1007/s40820-024-01571-6.pdf,"Y Bai, Y Zhou, X Wu, M Yin, L Yin, S Qu, F Zhang, K Li…",Pending,No,Not needed,,,10.1007/s40820-024-01571-6,"Y Bai, Y Zhou, X Wu, M Yin, L Yin, S Qu, F Zhang, K Li…",,,,,,,No
E008,P01,Ag–thiolate interactions to enable an ultrasensitive and stretchable MXene strain sensor with high temporospatial resolution,2024,Nature …,,https://www.nature.com/articles/s41467-024-49787-9,https://www.nature.com/articles/s41467-024-49787-9.pdf,"Y Liu, Z Xu, X Ji, X Xu, F Chen, X Pan, Z Fu…",Low,No,Not needed,,,,"Y Liu, Z Xu, X Ji, X Xu, F Chen, X Pan, Z Fu…",,,,,,,No
E009,P01,"Thin, flexible hybrid-structured piezoelectric sensor array with enhanced resolution and sensitivity",2024,Nano Energy,,https://www.sciencedirect.com/science/article/pii/S221128552400939X,,"L Zhen, M Cui, X Bai, J Jiang, X Ma, M Wang, J Liu…",Medium,No,Not needed,,,,"L Zhen, M Cui, X Bai, J Jiang, X Ma, M Wang, J Liu…",,,,,,,No
E010,P01,Flexible and sensitive pressure sensor with enhanced breathability for advanced wearable health monitoring,2025,npj Flexible …,,https://www.nature.com/articles/s41528-025-00469-6,https://www.nature.com/articles/s41528-025-00469-6.pdf,"X Chen, C Wang, W Wei, Y Liu, SS Ge, L Zhou…",High,No,Not needed,,,,"X Chen, C Wang, W Wei, Y Liu, SS Ge, L Zhou…",,,,,,,No
