Edge_ID,Source_ID,Citing_Title,Citing_Year,Citing_Venue_Raw,Citing_DOI,Article_URL,Full_Text_URL,Citing_Authors_Raw,Context_Priority,Independence_Class,Independence_Confidence,Independence_Note,Phase3_Fast_Attempted,Phase3_Fast_Match_Source,Phase3_Fast_Title_Score,Phase3_Fast_OpenAlex_ID,Phase3_Fast_Canonical_DOI,Phase3_Fast_Authors,Phase3_Fast_Institutions,Phase3_Fast_Countries,Final_Independence_Class,Final_Independence_Confidence,Final_Independence_Note,Overlapping_Source_Authors,Phase3_Fast_Changed
E006,P01,Traditional Chinese Medicine (TCM)‐Inspired Fully Printed Soft Pressure Sensor Array with Self‐Adaptive Pressurization for Highly Reliable Individualized Long‐Term …,2025,Advanced …,10.1002/adma.202410312,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202410312,,"X Wang, G Wu, X Zhang, F Lv, Z Yang…",Pending,Author metadata incomplete,Unresolved,Phase 2 unresolved record: full API author audit required.,Yes,OpenAlex DOI,100.0,https://openalex.org/W4402994118,10.1002/adma.202410312,Xin Wang; Guirong Wu; Xikuan Zhang; Fei Lv; Zekun Yang; Xueli Nan; Zengxing Zhang; Chenyang Xue; Huanyu Cheng; Libo Gao,North University of China; Pennsylvania State University; Shanxi University; Xiamen University; Xiamen University of Technology,CN; US,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
E007,P01,Flexible strain sensors with ultra-high sensitivity and wide range enabled by crack-modulated electrical pathways,2025,Nano-Micro Letters,10.1007/s40820-024-01571-6,https://link.springer.com/article/10.1007/s40820-024-01571-6,https://link.springer.com/content/pdf/10.1007/s40820-024-01571-6.pdf,"Y Bai, Y Zhou, X Wu, M Yin, L Yin, S Qu, F Zhang, K Li…",Pending,Author metadata incomplete,Unresolved,Phase 2 unresolved record: full API author audit required.,Yes,OpenAlex DOI,100.0,https://openalex.org/W4404455487,10.1007/s40820-024-01571-6,Yunzhao Bai; Yunlei Zhou; Xuanyu Wu; Mengfei Yin; Liting Yin; Shiyuan Qu; Fan Zhang; Kan Li; YongAn Huang,Huazhong University of Science and Technology; University of Southern California; Xidian University; Xuzhou University of Technology,CN; US,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
E011,P01,Constructing a high-power self-powered electrochemical pressure sensor for multimode pressure detections,2025,Nano Energy,,https://www.sciencedirect.com/science/article/pii/S2211285525001065,,"M Zhang, Z Duan, Z Huang, H Yu, C Wang, H Zhang…",Pending,Author metadata incomplete,Unresolved,Phase 2 unresolved record: full API author audit required.,Yes,OpenAlex title search,100.0,https://openalex.org/W4407088212,10.1016/j.nanoen.2025.110747,Mingxiang Zhang; Zaihua Duan; Zekai Huang; Haichao Yu; Changhong Wang; Hangxi Zhang; Teng Li; Qi Huang; Zhen Yuan; Yadong Jiang; Huiling Tai,China Electronics Technology Group Corporation; University of Electronic Science and Technology of China,CN,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
E013,P01,Integration of photodiagnosis and therapy guided by micro/nanorobots,2025,Advanced …,10.1002/adma.202420359,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202420359,,"Q Ding, S Huang, Z Zhang, D Yu, M Li…",Pending,Author metadata incomplete,Unresolved,Phase 2 unresolved record: full API author audit required.,Yes,OpenAlex DOI,100.0,https://openalex.org/W4408415691,10.1002/adma.202420359,Qihang Ding; Siqi Huang; Zihan Zhang; Donghu Yu; Man Li; Qin He; Ling Mei,Chengdu University; Korea University; Sichuan University; Wuhan University; Zhongnan Hospital of Wuhan University,CN; KR,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
E015,P01,Flexible pressure sensor arrays with high sensitivity and high density based on spinous microstructures for carved patterns recognition,2025,Advanced Functional …,10.1002/adfm.202417238,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adfm.202417238,,"W Zhao, K Li, Z Li, W Wang, X Yu…",Pending,Author metadata incomplete,Unresolved,Phase 2 unresolved record: full API author audit required.,Yes,OpenAlex DOI,100.0,https://openalex.org/W4405006072,10.1002/adfm.202417238,Wenli Zhao; Kun Li; Zonglin Li; Weiwei Wang; Xiaofeng Yu; Tong Zhang; Xiaoniu Yang,Changchun Institute of Applied Chemistry; Chinese Academy of Sciences; State Key Laboratory of Polymer Physics and Chemistry; University of Science and Technology of China,CN,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
E016,P01,Expanding the horizons of machine learning in nanomaterials to chiral nanostructures,2024,Advanced …,10.1002/adma.202308912,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202308912,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002%2Fadma.202308912,"V Kuznetsova, Á Coogan, D Botov…",Pending,Author metadata incomplete,Unresolved,Phase 2 unresolved record: full API author audit required.,Yes,OpenAlex DOI,100.0,https://openalex.org/W4391014981,10.1002/adma.202308912,Vera Kuznetsova; Áine Coogan; Dmitry Botov; Yulia Gromova; Elena V. Ushakova; Yurii K. Gun’ko,Advanced Materials and BioEngineering Research; City University of Hong Kong; Exelixis (United States); Harvard University; Neapolis University Pafos; Trinity College Dublin,CY; HK; IE; US,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
E018,P01,"Degradable, biocompatible, and flexible capacitive pressure sensor for intelligent gait recognition and rehabilitation training",2024,Nano Energy,,https://www.sciencedirect.com/science/article/pii/S2211285524004981,,"D Guo, Y Li, Q Zhou, Z Yu, X Liu, S Dong, S Zhang…",Pending,Author metadata incomplete,Unresolved,Phase 2 unresolved record: full API author audit required.,Yes,OpenAlex title search,100.0,https://openalex.org/W4397031091,10.1016/j.nanoen.2024.109750,Dedong Guo; Yuanlong Li; Qihui Zhou; Zhongxiang Yu; Xueqian Liu; Shuheng Dong; Shipeng Zhang; Ho‐Kun Sung; Zhao Yao; Yang Li; Yang Li,Affiliated Hospital of Qingdao University; Korea Advanced Nano Fab Center; Qingdao University; Shandong University; Zaozhuang Municipal Hospital,CN; KR,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
E020,P01,Anti‐motion artifacts iontronic sensor for long‐term accurate fingertip pulse monitoring,2025,Advanced …,10.1002/advs.202414425,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/advs.202414425,https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202414425,"J You, M Lu, L Dazhen, M Gao, R Zhang…",Pending,Author metadata incomplete,Unresolved,Phase 2 unresolved record: full API author audit required.,Yes,OpenAlex DOI,100.0,https://openalex.org/W4407859199,10.1002/advs.202414425,Jia You; Mingyang Lu; Lamu Dazhen; Mengjie Gao; Ruiyan Zhang; Wendong Li; F. Lei; Wei Ren; Guangxian Li; Junlong Yang,Chengdu University; Ningxia University; Sichuan University,CN,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
E025,P01,Deep learning-assisted piezoresistive pressure sensors with broad-range ultrasensitivity for wearable motion monitoring,2025,Nano Energy,,https://www.sciencedirect.com/science/article/pii/S2211285525003945,,"C Zhang, S Lang, M Tao, P Li, T Liang, X Zhao, X Gou…",Pending,Author metadata incomplete,Unresolved,Phase 2 unresolved record: full API author audit required.,Yes,OpenAlex title search,100.0,https://openalex.org/W4409827409,10.1016/j.nanoen.2025.111035,Chao Zhang; Shipan Lang; Meng Tao; Pei Li; Taotao Liang; Xiaodong Zhao; Xin Gou; Xinyuan Zhao; Shouze Xiong; Liqiang Zheng; Hanshen Xin; Hong Hu; L. Jay Guo; Jun Yang,Army Medical University; Chongqing Institute of Green and Intelligent Technology; Guizhou University; Shanghai Fudan Microelectronics (China); Southwest Hospital,CN,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
E026,P01,"Bioinspired low hysteresis flexible pressure sensor using nanocomposites of multiwalled carbon nanotubes, silicone rubber, and carbon nanofiber for human …",2024,ACS Applied Nano …,10.1021/acsanm.4c02631,https://pubs.acs.org/doi/abs/10.1021/acsanm.4c02631,,"X Guo, T Liu, Y Tang, W Li, L Liu, D Wang…",Pending,Author metadata incomplete,Unresolved,Phase 2 unresolved record: full API author audit required.,Yes,OpenAlex DOI,97.9,https://openalex.org/W4400119999,10.1021/acsanm.4c02631,Xiaohui Guo; Tiancheng Liu; Yongming Tang; Wei Li; Long Liu; Di Wang; Di Wang; Yifan Zhang; Tianxu Zhang; Xiaowen Zhu; Yuxin Guan; Xianghui Li; Yinuo Chen; Xinyu Wu; Guangyu Xiao; Xinchen Wang; Renkai Zhang; Dandan Wang; Dandan Wang; Zhihong Mai; Weiqiang Hong; Qi Hong; Yunong Zhao; Yongjun Zhang; Ming Wang; Feng Yan; Guozhong Xing,Anhui University; Arizona State University; Chinese Academy of Sciences; Dalian University of Technology; Fudan University; Hangzhou Dianzi University; Institute of Microelectronics; Nanjing University of Posts and Telecommunications,CN; US,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
E032,P01,Flexible sensor‐based human–machine interfaces with AI integration for medical robotics,2026,Advanced Robotics …,10.1002/adrr.202500027,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adrr.202500027,https://advanced.onlinelibrary.wiley.com/doi/pdf/10.1002/adrr.202500027,"Y Wang, Z Jiang, SH Kwon, M Ibrahim…",Pending,Author metadata incomplete,Unresolved,Phase 2 unresolved record: full API author audit required.,Yes,OpenAlex title search below threshold; Crossref DOI fallback,69.7,,10.1002/adrr.202500027,Yuxiao Wang; Zhipeng Jiang; Sun Hwa Kwon; Matthew Ibrahim; Alexander Dang; Lin Dong,,,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
E033,P01,"Flexible pressure sensing systems empowered by artificial intelligence: materials, devices and emerging applications",2026,Materials …,,https://pubs.rsc.org/mh/article-abstract/13/7/3178/897582,,"Z Hu, X Liu, X Cheng, Y Song, Z Jia, P Zhao, Z Lv…",Pending,Author metadata incomplete,Unresolved,Phase 2 unresolved record: full API author audit required.,Yes,OpenAlex title search,100.0,https://openalex.org/W7124653504,10.1039/d5mh02286j,Zhipeng Hu; Xinyi Liu; Xiyan Cheng; Yilin Song; Ziqi Jia; Pengfei Zhao; Ziyu Lv; Yongbiao Zhai; Loganathan Veeramuthu; Su-Ting Han; Vellaisamy A. L. Roy; Chi‐Ching Kuo; Ye Zhou,Hong Kong Polytechnic University; Hong Kong University of Science and Technology; Metropolitan University; Nanjing University of Posts and Telecommunications; National Taipei University of Technology; National Taiwan University; Northeastern University; Shenzhen University; University of Hong Kong,BD; CN; HK; TW; US,Fully independent,Verified,No source-author overlap found in a full OpenAlex/Crossref author list.,,Yes
