Edge_ID,Source_ID,Citing_Title,Citing_Year,Citing_Venue_Raw,Citing_DOI,Article_URL,Full_Text_URL,Citing_Authors_Raw,Context_Priority,Independence_Class,Independence_Confidence,Independence_Note,Phase3_Fast_Attempted,Phase3_Fast_Match_Source,Phase3_Fast_Title_Score,Phase3_Fast_OpenAlex_ID,Phase3_Fast_Canonical_DOI,Phase3_Fast_Authors,Phase3_Fast_Institutions,Phase3_Fast_Countries,Final_Independence_Class,Final_Independence_Confidence,Final_Independence_Note,Overlapping_Source_Authors,Phase3_Fast_Changed
E018,P01,"Degradable, biocompatible, and flexible capacitive pressure sensor for intelligent gait recognition and rehabilitation training",2024,Nano Energy,,https://www.sciencedirect.com/science/article/pii/S2211285524004981,,"D Guo, Y Li, Q Zhou, Z Yu, X Liu, S Dong, S Zhang…",Pending,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E023,P01,Emerging intelligent wearable devices for cardiovascular health monitoring,2024,Nano Today,,https://www.sciencedirect.com/science/article/pii/S1748013224004006,,"Y Wang, Y Zou, Z Li",High,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E058,P01,Ti3C2Tx-MXene/PET textile-based flexible pressure sensor for wearable pulse monitoring,2023,Journal of Materials …,,https://pubs.rsc.org/tc/article-abstract/11/44/15638/835020,https://pubs.rsc.org/tc/article/11/44/15638/835020,"Q Zhang, H Zhang, J Liang, X Zhao, B Li…",Pending,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,OpenAlex title search below threshold,61.3,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E103,P01,Body-coupled self-powered piezoresistive sensing for human-machine interaction,2026,Chemical Engineering …,,https://www.sciencedirect.com/science/article/pii/S1385894726078952,,"G Ma, T Zhang, K Ma, S Xiong, M Zhang, C Gu…",Pending,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,OpenAlex title search below threshold,51.5,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E106,P01,Machine learning for enhanced performance of flexible sensors: A review,2026,Applied Materials Today,,https://www.sciencedirect.com/science/article/pii/S2352940726001459,,"F Yang, C Huang, W Li, K Li, S Ding",Medium,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,OpenAlex title search below threshold,61.8,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E108,P01,Flexible tactile sensors enabled by biomimetic microstructures: From transduction mechanisms to human-integrated applications,2026,Polymer Testing,,https://www.sciencedirect.com/science/article/pii/S0142941826002333,https://www.sciencedirect.com/science/article/pii/S0142941826002333,"C Wei, J Shi",Low,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,OpenAlex title search below threshold,52.2,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E125,P01,Methanol as an anti-solvent to improve the low open-circuit voltage of CsPbBr3 perovskite solar cells prepared with water,2024,Dalton Transactions,,https://pubs.rsc.org/dt/article-abstract/53/11/5180/806887,https://pubs.rsc.org/dt/article-pdf/53/11/5180/9080605/d3dt04192a.pdf,"J Cheng, Z Gui, Y Jiang, J Wang, J Dong",Pending,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,OpenAlex title search below threshold,73.9,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E132,P01,Study on Pulse-taking Pressure Sensor based on Surface Acoustic Wave,2026,IEEE Sensors …,,https://ieeexplore.ieee.org/abstract/document/11483308/,https://ieeexplore.ieee.org/iel8/7361/4427201/11483308.pdf,"Y Feng, H Yu, X Yu, B Wang, B Zhang…",Pending,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,OpenAlex title search below threshold,51.1,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E133,P01,From pulse to pixel: artificial intelligence-enhanced pulse diagnosis for cardiovascular diseases,2026,Digital Chinese Medicine,,https://www.sciencedirect.com/science/article/pii/S2589377726000662,https://www.sciencedirect.com/science/article/pii/S2589377726000662,Z Xilong,High,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,OpenAlex title search below threshold,65.8,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E134,P01,"Research progress in materials, structures, and multimodal sensing applications of flexible electronic skins",2025,Chinese Science Bulletin,,https://www.sciengine.com/doi/pdf/BE10518A52E842379F602A22D630B067,https://www.sciengine.com/doi/pdf/BE10518A52E842379F602A22D630B067,"P Li, Z Gao, C Liang",Medium,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,OpenAlex title search below threshold,81.2,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E138,P01,基于 AlGaInP 的黄光单片集成脉搏监测光电传感器,2025,Acta Optica Sinica,,https://www.researching.cn/ArticlePdf/m00006/2025/45/8/0828003.pdf,https://www.researching.cn/ArticlePdf/m00006/2025/45/8/0828003.pdf,"吴冬梅, 葛杭琦, 叶子琪, 王永进, 施政, 高绪敏",Low,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E139,P02,"Polymer composites with high thermal conductivity: Theory, simulation, structure and interfacial regulation",2025,Progress in Materials Science,,https://www.sciencedirect.com/science/article/pii/S0079642524001312,,"JW Zha, F Wang, B Wan",Medium,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E148,P02,Structure and properties of polymer/two-dimensional nanomaterials studied via molecular dynamics simulation: a review,2023,Molecular Systems Design &Engineering,,https://pubs.rsc.org/me/article-abstract/8/1/11/772290,https://pubs.rsc.org/me/article/8/1/11/772290,"MY Zhou, J Liu, LQ Zhang",Pending,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E149,P02,Improved thermal conductivity and excellent electrical insulation properties of polysiloxane nanocomposite-incorporated functional boron nitride sheets via in situ …,2023,Nanoscale,,https://pubs.rsc.org/nr/article-abstract/15/31/13025/818119,https://pubs.rsc.org/nr/article/15/31/13025/818119,"X Zheng, Y Zhan, J Shi, M Lu, K Wu",Medium,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E157,P02,Molecular dynamics study of interfacial thermal transport in phase change thermal interface materials: The roles of paraffin content and carbon fiber surface …,2026,International Journal of Thermal …,,https://www.sciencedirect.com/science/article/pii/S1290072926005594,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=6520518,"Z Cui, J Zhou, Z Zhang, Z Ling, X Fang",High,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E158,P02,Investigation of heat transfer in a semicrystalline polymer by combining molecular simulation and machine learning,2026,Journal of Materials …,,https://pubs.rsc.org/ta/article-abstract/14/39/26270/1224385,,"Z Hu, C Jia, Y Lu, J Li, R Ma, X Zhao, L Zhang…",Exclude,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,OpenAlex title search below threshold,71.8,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E167,P02,Tuning the polymer thermal conductivity through structural modification induced by MoS2 bilayers,2022,Soft Matter,,https://pubs.rsc.org/sm/article-abstract/18/36/6927/788403,https://pubs.rsc.org/sm/article/18/36/6927/788403,"MR Gharib-Zahedi, A Koochaki, M Alaghemandi",Medium,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E169,P02,人工智能加速聚合物设计的最新进展和未来前景,2023,化工学报,,https://www.researchgate.net/profile/Tianhang-Zhou-4/publication/370818184_Artificial_intelligence_for_accelerating_polymer_design_recent_advances_and_future_perspectivesrengongzhinengjiasujuhewushejidezuixinjinzhanheweilaiqianjing/links/64649fe29533894cac75ef34/Artificial-intelligence-for-accelerating-polymer-design-recent-advances-and-future-perspectivesrengongzhinengjiasujuhewushejidezuixinjinzhanheweilaiqianjing.pdf,https://www.researchgate.net/profile/Tianhang-Zhou-4/publication/370818184_Artificial_intelligence_for_accelerating_polymer_design_recent_advances_and_future_perspectivesrengongzhinengjiasujuhewushejidezuixinjinzhanheweilaiqianjing/links/64649fe29533894cac75ef34/Artificial-intelligence-for-accelerating-polymer-design-recent-advances-and-future-perspectivesrengongzhinengjiasujuhewushejidezuixinjinzhanheweilaiqianjing.pdf,"周天航, 蓝兴英, 徐春明",Low,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,OpenAlex title search below threshold,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E170,P02,Optimisation of electron irradiation for creating spin ensembles in hexagonal boron nitride,2024,,,https://research-repository.rmit.edu.au/ndownloader/files/64943112/1,https://research-repository.rmit.edu.au/ndownloader/files/64943112/1,"S Saha, S Sankar, S Arafin, T Suzuki, Y Yamazaki…",Medium,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E171,P02,Molecular Dynamics Investigation of Thermal Transport Across Hexagonal Boron Nitride-Eicosane Interfaces,,Available at SSRN 6051803,,,,"HK Chilukoti, SC Ravula",High,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E172,P03,Reinforcement of boron–nitrogen coordinated polyurethane elastomers with silica nanoparticles,2022,Polymer,,https://www.sciencedirect.com/science/article/pii/S0032386122006887,,"W Zhou, S Ren, F Zhang, X Gao, K Song, H Fang…",Low,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E175,P03,Process-induced residual stress in non-crimp fabric composites: Experimental and numerical evaluation considering viscoelasticity,2025,Mechanics of …,,https://www.sciencedirect.com/science/article/pii/S0167663625001851,https://www.sciencedirect.com/science/article/pii/S0167663625001851,"S Koo, Y Hoshikawa, Y Kawagoe, K Ryuzono…",Medium,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E176,P03,Enhancing the dielectric and thermal properties of polytetrafluoroethylene-based composites through designing and constructing a novel interfacial structure,2024,Heliyon,,https://www.cell.com/heliyon/fulltext/S2405-8440(24)01473-7,https://www.cell.com/heliyon/fulltext/S2405-8440(24)01473-7,"X Li, J Shen, J Zhou, C Zhu, W Chen",Low,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E178,P03,Dispersion Strategy improves the mechanical properties of 3D-Printed biopolymer nanocomposite,2024,Composites Part B: Engineering,,https://www.sciencedirect.com/science/article/pii/S135983682400492X,https://www.sciencedirect.com/science/article/pii/S135983682400492X,"D Mondal, TL Willett",Medium,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E180,P03,Impacts of nanofiller shapes on the interface confinement effect in polymer nanocomposites,2024,Composite …,,https://www.sciencedirect.com/science/article/pii/S0263822323010255,,"G Wang, R Wang, L Wang, C Wang, F Zhang…",High,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E182,P03,Nanoasperity-driven reinforcement and viscoelastic modulation in polymer nanocomposites: A coarse-grained molecular dynamics study,2026,Computational materials science,,https://www.sciencedirect.com/science/article/pii/S0927025626001801,https://www.sciencedirect.com/science/article/pii/S0927025626001801,"H Wang, Z Yang, J Yang, Z Meng",High,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E185,P03,Rheological Behavior of Poly (Styrene-Co-Acrylonitrile)/Carbon Nanotube Sponges for Fiber Electrospinning Applications,2025,Nanomaterials,,https://www.mdpi.com/2079-4991/15/14/1060,https://www.mdpi.com/2079-4991/15/14/1060,"R Caro-Briones, MA Pérez-Castillo…",Low,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E186,P03,Anodic interfacial challenges and engineering strategies in solid-state lithium batteries with composite polymer solid electrolytes,2026,Nano Energy,,https://www.sciencedirect.com/science/article/pii/S2211285526000868,,"J Luo, P Lin, C Wang, T Wu, P He, F Lu, T Lin, N Zhang",Low,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E188,P03,Study on the mechanism of hydroxylated carbon nanotubes enhancing the high temperature performance of SBS asphalt by nano-bridging,2026,Construction and Building Materials,,https://www.sciencedirect.com/science/article/pii/S0950061826009281,,"Y Liu, X Yang, J Shen, S Wu, H Zhou",Low,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E190,P03,Temperature effect on the AuNP-PE interfacial confinement and the underlying physics,2025,Computational Materials …,,https://www.sciencedirect.com/science/article/pii/S0927025625004136,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5263037,"F Zhang, G Wang, R Wang, L Wang, J Xia…",Medium,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E191,P03,Molecular dynamics study of temperature and pressure effects on the mechanical properties of graphene oxide-reinforced DETDA/DGEBA epoxy,2026,… Communications in Heat …,,https://www.sciencedirect.com/science/article/pii/S0735193326010894,https://acikerisim.gelisim.edu.tr/bitstreams/55f975cc-12c1-456f-8fdb-4440547a1529/download,"X You, J Li, M Taner, S Salahshour, N Emami…",Pending,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E193,P03,High alignment and high loading composite fibers enabled by ultralong polymers,2026,Polymer,,https://www.sciencedirect.com/science/article/pii/S0032386126007287,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=6482430,"J Ni, Y Zhang, Z Chen, S Yang, Z Xu, S Liu, Y Xiao",Medium,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
E194,P03,Buried interfacial structures in cellulose-reinforced styrene–butadiene rubber composites probed by sum-frequency generation spectroscopy,2026,RSC Applied …,10.1039/d6lf00054a/1236933,https://pubs.rsc.org/lf/article-abstract/doi/10.1039/d6lf00054a/1236933,https://pubs.rsc.org/lf/article-pdf/doi/10.1039/d6lf00054a/12682042/d6lf00054a.pdf,"T Abe, R Ozawa, T Maekawa, Y Tsuji…",Pending,Author metadata incomplete,Unresolved,Compact seed: full API author audit required.,Yes,,,,10.1039/d6lf00054a/1236933,,,,Author metadata incomplete,Unresolved,No sufficiently complete author list was retrieved.,,No
